scenario,time,state,obs,action,value,rep,method
1,10,34,34,11,0.12095695742189469,6,POMDP
1,11,33,33,10,0.10341819859571995,6,POMDP
1,12,33,33,10,0.09824728866593394,6,POMDP
1,13,34,34,11,0.10370547136959694,6,POMDP
1,14,33,33,10,0.08866817802100538,6,POMDP
1,15,33,33,10,0.0842347691199551,6,POMDP
1,16,35,35,12,0.09780592636705898,6,POMDP
1,17,33,33,10,0.07602187913075947,6,POMDP
1,18,34,34,11,0.08024531686024611,6,POMDP
1,19,33,33,10,0.06860974591551042,6,POMDP
1,20,33,33,10,0.06517925861973489,6,POMDP
1,21,34,34,11,0.06880032854305351,6,POMDP
1,22,34,34,11,0.06536031211590082,6,POMDP
1,23,34,34,11,0.06209229651010578,6,POMDP
1,24,34,34,11,0.05898768168460049,6,POMDP
1,25,31,31,8,0.03922680832025933,6,POMDP
1,26,34,34,11,0.05323638272035194,6,POMDP
1,27,33,33,10,0.045517107225900896,6,POMDP
1,28,34,34,11,0.048045835405117615,6,POMDP
1,29,33,33,10,0.041079189271375556,6,POMDP
1,30,32,32,9,0.03468909316249492,6,POMDP
1,31,32,32,9,0.032954638504370165,6,POMDP
1,32,34,34,11,0.039133633223939576,6,POMDP
1,33,34,34,11,0.037176951562742595,6,POMDP
1,34,35,35,12,0.038849914383066,6,POMDP
1,35,33,33,10,0.030196978906837667,6,POMDP
1,36,35,35,12,0.03506204773071707,6,POMDP
1,37,32,32,9,0.024224687523040883,6,POMDP
1,38,34,34,11,0.028766816433611047,6,POMDP
1,39,33,33,10,0.02459562805073744,6,POMDP
